"[0.49600280678991315, 0.5579357012569289, 0.8889963586709148, 4, 0]","[0.5873671898434972, 0.7432068761495276, 0.7903145257301459, 7, 0]"
"[0.532094252244214, 0.7001997360768925, 0.7599178132020633, 8, 0]","[0.38899726341124896, 0.47327464955495346, 0.8219271067593517, 6, 0]"
"[0.6130561258691579, 0.8390096400258891, 0.7306902050019843, 9, 0]","[0.7876657905577017, 0.921457567503094, 0.8548041910297263, 5, 0]"
"[0.4704700136341705, 0.4704700136341705, 1.0, 1, 0]","[0.4704700136341705, 0.4704700136341705, 1.0, 1, 0]"
"[0.312360018548108, 0.3654170415002628, 0.8548041910297263, 5, 0]","[0.3654329036992072, 0.427504810498173, 0.8548041910297263, 5, 0]"
